127.0.0.1 - - [04/Dec/2023:09:18:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/simulater HTTP/1.1" 200 23920
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/resources/assets/img/brand/%ED%99%98%EA%B2%BD%EB%B6%80.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/css/neumorphism.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/resources/vendor/@fortawesome/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/resources/assets/img/brand/%ED%95%9C%EA%B5%AD%EA%B8%B0%ED%9B%84%ED%99%98%EA%B2%BD%20%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/resources/assets/img/brand/%EA%B8%B0%ED%9B%84%ED%96%89%EB%8F%99%201.5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/resources/assets/img/brand/carina_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/popper.js/dist/umd/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/headroom.js/dist/headroom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/onscreen/dist/on-screen.umd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/nouislider/distribute/nouislider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/bootstrap-datepicker/dist/js/bootstrap-datepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/waypoints/lib/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/jarallax/dist/jarallax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/jquery.counterup/jquery.counterup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/jquery-countdown/dist/jquery.countdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/resources/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/smooth-scroll/dist/smooth-scroll.polyfills.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/assets/js/neumorphism.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /cbs/vendor/prismjs/prism.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:51 +0900] "GET /cbs/result HTTP/1.1" 200 69042
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:51 +0900] "GET /assets/img/carousel/%EA%B7%B8%EB%9E%98%ED%94%84.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:51 +0900] "GET /assets/img/carousel/%EA%B7%B8%EB%9E%98%ED%94%84.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:19:54 +0900] "POST /cbs/getTotal HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /cbs/result HTTP/1.1" 200 70485
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /assets/img/carousel/%EA%B7%B8%EB%9E%98%ED%94%84.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /cbs/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 89493
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /cbs/resources/vendor/@fortawesome/fontawesome-free/css/all.min.css HTTP/1.1" 200 71815
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /cbs/css/neumorphism.css HTTP/1.1" 200 697873
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /cbs/vendor/popper.js/dist/umd/popper.min.js HTTP/1.1" 200 21257
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /cbs/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /cbs/vendor/onscreen/dist/on-screen.umd.min.js HTTP/1.1" 200 6714
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /cbs/vendor/headroom.js/dist/headroom.min.js HTTP/1.1" 200 4403
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /cbs/vendor/nouislider/distribute/nouislider.min.js HTTP/1.1" 200 22052
